model,recal,seed,coverage,model_err_kept,expert_acc,system_err
lr,none,0,0.7998715753424658,0.05592721434305593,0.75,0.09476669520547945
lr,none,0,0.8998287671232876,0.07659372026641294,0.75,0.0939640410958904
lr,none,0,0.9499143835616438,0.0939612438035151,0.75,0.1017765410958904
lr,none,0,0.7998715753424658,0.05592721434305593,0.85,0.07475385273972603
lr,none,0,0.8998287671232876,0.07659372026641294,0.85,0.08394691780821918
lr,none,0,0.9499143835616438,0.0939612438035151,0.85,0.0967679794520548
lr,none,0,0.7998715753424658,0.05592721434305593,0.95,0.054741010273972615
lr,none,0,0.8998287671232876,0.07659372026641294,0.95,0.07392979452054796
lr,none,0,0.9499143835616438,0.0939612438035151,0.95,0.09175941780821918
lr,temperature,0,0.7998715753424658,0.05592721434305593,0.75,0.09476669520547945
lr,temperature,0,0.8998287671232876,0.07659372026641294,0.75,0.0939640410958904
lr,temperature,0,0.9499143835616438,0.0939612438035151,0.75,0.1017765410958904
lr,temperature,0,0.7998715753424658,0.05592721434305593,0.85,0.07475385273972603
lr,temperature,0,0.8998287671232876,0.07659372026641294,0.85,0.08394691780821918
lr,temperature,0,0.9499143835616438,0.0939612438035151,0.85,0.0967679794520548
lr,temperature,0,0.7998715753424658,0.05592721434305593,0.95,0.054741010273972615
lr,temperature,0,0.8998287671232876,0.07659372026641294,0.95,0.07392979452054796
lr,temperature,0,0.9499143835616438,0.0939612438035151,0.95,0.09175941780821918
xgb,none,0,0.7998715753424658,0.05378645972705379,0.75,0.09305436643835617
xgb,none,0,0.8998287671232876,0.07492863939105614,0.75,0.09246575342465753
xgb,none,0,0.9499143835616438,0.09103199639477241,0.75,0.09899400684931506
xgb,none,0,0.7998715753424658,0.05378645972705379,0.85,0.07304152397260275
xgb,none,0,0.8998287671232876,0.07492863939105614,0.85,0.0824486301369863
xgb,none,0,0.9499143835616438,0.09103199639477241,0.85,0.09398544520547944
xgb,none,0,0.7998715753424658,0.05378645972705379,0.95,0.05302868150684933
xgb,none,0,0.8998287671232876,0.07492863939105614,0.95,0.07243150684931507
xgb,none,0,0.9499143835616438,0.09103199639477241,0.95,0.08897688356164382
xgb,temperature,0,0.7998715753424658,0.05378645972705379,0.75,0.09305436643835617
xgb,temperature,0,0.8998287671232876,0.07492863939105614,0.75,0.09246575342465753
xgb,temperature,0,0.9499143835616438,0.09103199639477241,0.75,0.09899400684931506
xgb,temperature,0,0.7998715753424658,0.05378645972705379,0.85,0.07304152397260275
xgb,temperature,0,0.8998287671232876,0.07492863939105614,0.85,0.0824486301369863
xgb,temperature,0,0.9499143835616438,0.09103199639477241,0.85,0.09398544520547944
xgb,temperature,0,0.7998715753424658,0.05378645972705379,0.95,0.05302868150684933
xgb,temperature,0,0.8998287671232876,0.07492863939105614,0.95,0.07243150684931507
xgb,temperature,0,0.9499143835616438,0.09103199639477241,0.95,0.08897688356164382
mlp,none,0,0.7998715753424658,0.05967353492105967,0.75,0.0977632705479452
mlp,none,0,0.8998287671232876,0.0818268315889629,0.75,0.09867294520547945
mlp,none,0,0.9499143835616438,0.09508787742226228,0.75,0.10284674657534247
mlp,none,0,0.7998715753424658,0.05967353492105967,0.85,0.07775042808219178
mlp,none,0,0.8998287671232876,0.0818268315889629,0.85,0.08865582191780823
mlp,none,0,0.9499143835616438,0.09508787742226228,0.85,0.09783818493150685
mlp,none,0,0.7998715753424658,0.05967353492105967,0.95,0.05773758561643837
mlp,none,0,0.8998287671232876,0.0818268315889629,0.95,0.07863869863013699
mlp,none,0,0.9499143835616438,0.09508787742226228,0.95,0.09282962328767123
mlp,temperature,0,0.7998715753424658,0.05967353492105967,0.75,0.0977632705479452
mlp,temperature,0,0.8998287671232876,0.0818268315889629,0.75,0.09867294520547945
mlp,temperature,0,0.9499143835616438,0.09508787742226228,0.75,0.10284674657534247
mlp,temperature,0,0.7998715753424658,0.05967353492105967,0.85,0.07775042808219178
mlp,temperature,0,0.8998287671232876,0.0818268315889629,0.85,0.08865582191780823
mlp,temperature,0,0.9499143835616438,0.09508787742226228,0.85,0.09783818493150685
mlp,temperature,0,0.7998715753424658,0.05967353492105967,0.95,0.05773758561643837
mlp,temperature,0,0.8998287671232876,0.0818268315889629,0.95,0.07863869863013699
mlp,temperature,0,0.9499143835616438,0.09508787742226228,0.95,0.09282962328767123
lr,none,1,0.7998715753424658,0.05432164838105432,0.75,0.09348244863013698
lr,none,1,0.8998287671232876,0.07730732635585157,0.75,0.09460616438356165
lr,none,1,0.9499143835616438,0.09418657052726453,0.75,0.10199058219178082
lr,none,1,0.7998715753424658,0.05432164838105432,0.85,0.07346960616438356
lr,none,1,0.8998287671232876,0.07730732635585157,0.85,0.08458904109589042
lr,none,1,0.9499143835616438,0.09418657052726453,0.85,0.0969820205479452
lr,none,1,0.7998715753424658,0.05432164838105432,0.95,0.05345676369863015
lr,none,1,0.8998287671232876,0.07730732635585157,0.95,0.07457191780821919
lr,none,1,0.9499143835616438,0.09418657052726453,0.95,0.09197345890410959
lr,temperature,1,0.7998715753424658,0.05432164838105432,0.75,0.09348244863013698
lr,temperature,1,0.8998287671232876,0.07730732635585157,0.75,0.09460616438356165
lr,temperature,1,0.9499143835616438,0.09418657052726453,0.75,0.10199058219178082
