group,n,deferral_rate,global_deferral_rate,disparity_ratio,group_var,model,recal,seed
18-44,585,0.08717948717948718,0.10017123287671233,0.8703046241507779,age_band,lr,none,0
45-64,1601,0.09431605246720799,0.10017123287671233,0.9415482844589653,age_band,lr,none,0
65-79,1570,0.09554140127388536,0.10017123287671233,0.9537808263922914,age_band,lr,none,0
80+,916,0.12663755458515283,0.10017123287671233,1.2642108013287052,age_band,lr,none,0
F,2002,0.09540459540459541,0.10017123287671233,0.9524151062612601,sex,lr,none,0
M,2670,0.10374531835205993,0.10017123287671233,1.035679759275265,sex,lr,none,0
Asian,157,0.10828025477707007,0.10017123287671233,1.080951603244597,ethnicity_group,lr,none,0
Black,413,0.1016949152542373,0.10017123287671233,1.0152107779226425,ethnicity_group,lr,none,0
Hispanic,178,0.08426966292134831,0.10017123287671233,0.8412561221549986,ethnicity_group,lr,none,0
Other,944,0.1228813559322034,0.10017123287671233,1.2267130233231929,ethnicity_group,lr,none,0
White,2980,0.09328859060402685,0.10017123287671233,0.9312912292778065,ethnicity_group,lr,none,0
Medicaid,681,0.09544787077826726,0.10017123287671233,0.9528471202480013,insurance_group,lr,none,0
Medicare,2554,0.11198120595144871,0.10017123287671233,1.1178978508657444,insurance_group,lr,none,0
Other,1437,0.081419624217119,0.10017123287671233,0.8128044537230341,insurance_group,lr,none,0
18-44,585,0.08717948717948718,0.10017123287671233,0.8703046241507779,age_band,lr,temperature,0
45-64,1601,0.09431605246720799,0.10017123287671233,0.9415482844589653,age_band,lr,temperature,0
65-79,1570,0.09554140127388536,0.10017123287671233,0.9537808263922914,age_band,lr,temperature,0
80+,916,0.12663755458515283,0.10017123287671233,1.2642108013287052,age_band,lr,temperature,0
F,2002,0.09540459540459541,0.10017123287671233,0.9524151062612601,sex,lr,temperature,0
M,2670,0.10374531835205993,0.10017123287671233,1.035679759275265,sex,lr,temperature,0
Asian,157,0.10828025477707007,0.10017123287671233,1.080951603244597,ethnicity_group,lr,temperature,0
Black,413,0.1016949152542373,0.10017123287671233,1.0152107779226425,ethnicity_group,lr,temperature,0
Hispanic,178,0.08426966292134831,0.10017123287671233,0.8412561221549986,ethnicity_group,lr,temperature,0
Other,944,0.1228813559322034,0.10017123287671233,1.2267130233231929,ethnicity_group,lr,temperature,0
White,2980,0.09328859060402685,0.10017123287671233,0.9312912292778065,ethnicity_group,lr,temperature,0
Medicaid,681,0.09544787077826726,0.10017123287671233,0.9528471202480013,insurance_group,lr,temperature,0
Medicare,2554,0.11198120595144871,0.10017123287671233,1.1178978508657444,insurance_group,lr,temperature,0
Other,1437,0.081419624217119,0.10017123287671233,0.8128044537230341,insurance_group,lr,temperature,0
18-44,585,0.08034188034188035,0.10017123287671233,0.8020454379428739,age_band,xgb,none,0
45-64,1601,0.09993753903810118,0.10017123287671233,0.9976670563803606,age_band,xgb,none,0
65-79,1570,0.09681528662420383,0.10017123287671233,0.966497904077522,age_band,xgb,none,0
80+,916,0.11899563318777293,0.10017123287671233,1.187922218489904,age_band,xgb,none,0
