model,recal,seed,auroc,auprc,brier,ece_quantile,ece_width,prevalence,n,aurc,auroc@0.8,err@0.8,true_cov@0.8,auroc@0.9,err@0.9,true_cov@0.9,auroc@0.95,err@0.95,true_cov@0.95
lr,none,0,0.8581537482056685,0.5497993229957588,0.08292170833992028,0.008988520078720755,0.010159260064788454,0.13334760069847107,4672,0.0342593267386383,0.8001865035191037,0.05592721434305593,0.7998715753424658,0.8359077876493051,0.07659372026641294,0.8998287671232876,0.8449862874555613,0.0939612438035151,0.9499143835616438
lr,temperature,0,0.8581537482056685,0.5497993229957588,0.0828926151708198,0.008032998584343828,0.011816858339504731,0.13334760069847107,4672,0.0342593267386383,0.8001865035191037,0.05592721434305593,0.7998715753424658,0.8359077876493051,0.07659372026641294,0.8998287671232876,0.8449862874555613,0.0939612438035151,0.9499143835616438
lr,platt,0,0.8581537482056685,0.5497993229957588,0.08289284122646838,0.007986973197729117,0.01212270747528093,0.13334760069847107,4672,0.03422309465487923,0.8001865035191037,0.05592721434305593,0.7998715753424658,0.8353811313947384,0.07659372026641294,0.8998287671232876,0.8458280698344832,0.0939612438035151,0.9499143835616438
lr,isotonic,0,0.8580368019846766,0.5337176050283124,0.08300540542840372,0.012925168738199077,0.015243229621574818,0.13334760069847107,4672,0.034037442542661035,0.7856450149278544,0.05574727900185824,0.806292808219178,0.8353652157032794,0.07730496453900709,0.9053938356164384,0.8463231136924343,0.09520609318996416,0.9554794520547946
xgb,none,0,0.8770312468409655,0.5808595877687646,0.08022720770898892,0.011330742019297712,0.014870365808784387,0.13334760069847107,4672,0.02797612127764748,0.8447620876219734,0.05378645972705379,0.7998715753424658,0.8627524987224283,0.07492863939105614,0.8998287671232876,0.8700218763295093,0.09103199639477241,0.9499143835616438
xgb,temperature,0,0.8770312468409655,0.5808595877687646,0.08005898220168113,0.008319768737245634,0.010379782124156769,0.13334760069847107,4672,0.02797612127764748,0.8447620876219734,0.05378645972705379,0.7998715753424658,0.8627524987224283,0.07492863939105614,0.8998287671232876,0.8700218763295093,0.09103199639477241,0.9499143835616438
xgb,platt,0,0.8770312468409655,0.5808595877687646,0.08009560078809616,0.010553442496656426,0.009279098963898006,0.13334760069847107,4672,0.027971066921985935,0.8537051995157946,0.05378645972705379,0.7998715753424658,0.8672852276419463,0.07611798287345385,0.8998287671232876,0.8710860331389874,0.08922938260477693,0.9499143835616438
xgb,isotonic,0,0.8761137145410138,0.5493378607707068,0.08081909289200048,0.009406286252554602,0.011492212491428518,0.13334760069847107,4672,0.028295398909452367,0.872896154668488,0.05564430244941427,0.8039383561643836,0.8650776649780989,0.08208092485549133,0.9257277397260274,0.873171057748396,0.1072896387627082,0.9895119863013698
mlp,none,0,0.8594112174022319,0.5360045441797262,0.0856472755460368,0.028834549729808066,0.03001153694951201,0.13334760069847107,4672,0.03307943390367121,0.8325383350850243,0.05967353492105967,0.7998715753424658,0.8483993842071915,0.0818268315889629,0.8998287671232876,0.8565713798936391,0.09508787742226228,0.9499143835616438
mlp,temperature,0,0.8594112174022319,0.5360045441797262,0.08492123873659733,0.018630672199887306,0.015507280245030605,0.13334760069847107,4672,0.03307943390367121,0.8325383350850243,0.05967353492105967,0.7998715753424658,0.8483993842071915,0.0818268315889629,0.8998287671232876,0.8565713798936391,0.09508787742226228,0.9499143835616438
