group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
18-44,585,0.08034188034188035,0.907498220359092,0.040724590198565065,0.027789055321682434,0.06194576687466716,age_band,lr,none,0
45-64,1601,0.11242973141786383,0.872237860661506,0.02200727873241848,0.014708697874643559,0.03817559520404189,age_band,lr,none,0
65-79,1570,0.14267515923566879,0.855255651666313,0.01490166639927553,0.013264444488559297,0.03500704147616409,age_band,lr,none,0
80+,916,0.18777292576419213,0.8205567016754189,0.04521571091263712,0.03596348184786652,0.07296882255679382,age_band,lr,none,0
F,2002,0.13636363636363635,0.8502871718603355,0.015230436057031315,0.011546011764406762,0.030925712939564906,sex,lr,none,0
M,2670,0.13108614232209737,0.8636354679802957,0.012368954871885267,0.00939731909238327,0.02439575117258493,sex,lr,none,0
Asian,157,0.14012738853503184,0.838047138047138,0.04916229564046288,0.044464433759811614,0.11057959304452826,ethnicity_group,lr,none,0
Black,413,0.10653753026634383,0.8588938162108893,0.03628884822603201,0.02510876772808881,0.06843107535163147,ethnicity_group,lr,none,0
Hispanic,178,0.11797752808988764,0.8392478010312405,0.033615093757597414,0.02826317614298593,0.09071442141819717,ethnicity_group,lr,none,0
Other,944,0.1832627118644068,0.8986677462645165,0.04140332257012029,0.024333147338739352,0.05941086501923625,ethnicity_group,lr,none,0
White,2980,0.12181208053691275,0.8403793378955777,0.01166872016722532,0.01000616762934588,0.02528098532290433,ethnicity_group,lr,none,0
Medicaid,681,0.11747430249632893,0.863477537437604,0.024341672688548335,0.021221063492526657,0.05016160562384892,insurance_group,lr,none,0
Medicare,2554,0.15426781519185592,0.855532054897537,0.019355664674499458,0.013070341936619257,0.03345460834570873,insurance_group,lr,none,0
Other,1437,0.10368823938761308,0.8574346575513778,0.022610126866819687,0.01614155601136046,0.03903768822986364,insurance_group,lr,none,0
18-44,585,0.08034188034188035,0.907498220359092,0.04181248210944852,0.028887067679735284,0.06337583965640209,age_band,lr,temperature,0
45-64,1601,0.11242973141786383,0.872237860661506,0.02285022377187798,0.015736322833354265,0.03905127060936867,age_band,lr,temperature,0
65-79,1570,0.14267515923566879,0.855255651666313,0.013952125885181202,0.013191683250169447,0.03406897104246211,age_band,lr,temperature,0
80+,916,0.18777292576419213,0.8205567016754189,0.04405567167224211,0.035338039090371615,0.07196152353497202,age_band,lr,temperature,0
F,2002,0.13636363636363635,0.8502871718603355,0.014999039173901937,0.011801178001843512,0.031127748416092633,sex,lr,temperature,0
M,2670,0.13108614232209737,0.8636354679802957,0.011869888348228684,0.009134919071269385,0.024552383404967806,sex,lr,temperature,0
Asian,157,0.14012738853503184,0.838047138047138,0.048718215236255344,0.04489162616817168,0.11013834960020076,ethnicity_group,lr,temperature,0
Black,413,0.10653753026634383,0.8588938162108893,0.03710125644826222,0.025709281997548992,0.06953439371580541,ethnicity_group,lr,temperature,0
Hispanic,178,0.11797752808988764,0.8392478010312405,0.033517817717918084,0.02875790157324078,0.09095166892708138,ethnicity_group,lr,temperature,0
Other,944,0.1832627118644068,0.8986677462645165,0.04084858889580293,0.024160372640390376,0.058721066980732484,ethnicity_group,lr,temperature,0
White,2980,0.12181208053691275,0.8403793378955777,0.012154764456657549,0.009947985616517012,0.02517036369543696,ethnicity_group,lr,temperature,0
Medicaid,681,0.11747430249632893,0.863477537437604,0.025317507811078346,0.02179368952269731,0.05055488970277801,insurance_group,lr,temperature,0
Medicare,2554,0.15426781519185592,0.855532054897537,0.017907652313233033,0.012861523081087069,0.032500034740666435,insurance_group,lr,temperature,0
Other,1437,0.10368823938761308,0.8574346575513778,0.02196801695983656,0.016431423887924297,0.039366134921698215,insurance_group,lr,temperature,0
18-44,585,0.08034188034188035,0.9269160800442933,0.02318389870039322,0.01647691685261611,0.04638536185069948,age_band,xgb,none,0
45-64,1601,0.11242973141786383,0.8887207756665885,0.013050497163165366,0.010223570923028967,0.02945105207690675,age_band,xgb,none,0
65-79,1570,0.14267515923566879,0.873739651878582,0.018851781428856823,0.014008886538702515,0.03739405399185245,age_band,xgb,none,0
80+,916,0.18777292576419213,0.839702113028257,0.043781050489671465,0.031117962644758662,0.066510445734244,age_band,xgb,none,0
F,2002,0.13636363636363635,0.8757332892671239,0.013804417201976097,0.009581205913038232,0.02811805209213478,sex,xgb,none,0
M,2670,0.13108614232209737,0.8779396551724138,0.015661343683864508,0.012401201071126418,0.028970601061957035,sex,xgb,none,0
Asian,157,0.14012738853503184,0.8848484848484848,0.04793798358841046,0.028281413329410022,0.09245236189079406,ethnicity_group,xgb,none,0
Black,413,0.10653753026634383,0.8965878295146589,0.030446583550867625,0.02128948806343204,0.059466127464525176,ethnicity_group,xgb,none,0
Hispanic,178,0.11797752808988764,0.8835304822565969,0.035265546626924126,0.02584941370414015,0.08596307397766094,ethnicity_group,xgb,none,0
Other,944,0.1832627118644068,0.9114055014507096,0.04243338274071733,0.02988701632671341,0.06261991594074061,ethnicity_group,xgb,none,0
White,2980,0.12181208053691275,0.8562608753319839,0.018249449382915835,0.013227120771313253,0.03161037454556159,ethnicity_group,xgb,none,0
Medicaid,681,0.11747430249632893,0.8688643926788686,0.02844598888154258,0.016142174615029817,0.0501368606752788,insurance_group,xgb,none,0
Medicare,2554,0.15426781519185592,0.8749001222034216,0.020107276881682144,0.012813662851996038,0.03461972793327336,insurance_group,xgb,none,0
